Dataset name,Dataset type,Dataset number,type,Representer,Params
ionchannels_membraneproteins,balanced,10,finetuned,ESM-1b,"kernel_sizes: [5, 7],out_channels: [64, 32],dropout_prob: 0.21081248322298346,optimizer: Adam,lr: 2.397038589595945e-05"
ionchannels_iontransporters,Na,Na,finetuned,ProtBERT,"kernel_sizes: [3, 5],out_channels: [64, 32, 16],dropout_prob: 0.48346915121767986,optimizer: RMSprop,lr: 1.6491306014844986e-05"
ionchannels_membraneproteins,balanced,8,frozen,ProtBERT,"kernel_sizes: [5, 7],out_channels: [64, 32],dropout_prob: 0.35644684131396537,optimizer: Adam,lr: 0.00018056098077229375"
ionchannels_membraneproteins,balanced,3,finetuned,ESM-1b,"kernel_sizes: [3, 5, 7],out_channels: [64, 32, 16],dropout_prob: 0.29198329792502264,optimizer: RMSprop,lr: 0.0007810452397434028"
iontransporters_membraneproteins,balanced,6,frozen,ESM-1b,"kernel_sizes: [3, 5, 7],out_channels: [64, 32, 16],dropout_prob: 0.3694838869144741,optimizer: SGD,lr: 0.000697873936284361"
iontransporters_membraneproteins,balanced,6,frozen,ProtBERT-BFD,"kernel_sizes: [3, 5, 7],out_channels: [64, 32, 16],dropout_prob: 0.4181875346737888,optimizer: SGD,lr: 0.026030674867862678"
ionchannels_membraneproteins,balanced,8,frozen,ESM-2_15B,"kernel_sizes: [5, 7],out_channels: [64, 32, 16, 8],dropout_prob: 0.23288527834651923,optimizer: Adam,lr: 8.369193205665524e-05"
iontransporters_membraneproteins,balanced,5,finetuned,ESM-2,"kernel_sizes: [3, 5],out_channels: [64, 32, 16, 8],dropout_prob: 0.45592279987168194,optimizer: RMSprop,lr: 0.0005597373641023166"
iontransporters_membraneproteins,balanced,7,finetuned,ProtBERT-BFD,"kernel_sizes: [3, 5, 7],out_channels: [64, 32, 16, 8],dropout_prob: 0.4662092047840136,optimizer: SGD,lr: 0.0003744281726749703"
ionchannels_membraneproteins,balanced,6,frozen,ProtBERT-BFD,"kernel_sizes: [3, 5],out_channels: [64, 32, 16],dropout_prob: 0.4377843669017895,optimizer: RMSprop,lr: 5.766542821512765e-05"
ionchannels_membraneproteins,balanced,1,frozen,ProtBERT,"kernel_sizes: [3, 5, 7],out_channels: [64, 32, 16, 8],dropout_prob: 0.30634702309551043,optimizer: RMSprop,lr: 3.751676663140137e-05"
iontransporters_membraneproteins,balanced,1,frozen,ESM-2,"kernel_sizes: [3, 5, 7],out_channels: [64, 32],dropout_prob: 0.31992549387945807,optimizer: RMSprop,lr: 4.237514877607152e-05"
ionchannels_membraneproteins,balanced,6,frozen,ProtT5,"kernel_sizes: [3, 5],out_channels: [64, 32, 16, 8],dropout_prob: 0.24227387480218476,optimizer: RMSprop,lr: 0.0003134100190447791"
iontransporters_membraneproteins,balanced,2,frozen,ProtT5,"kernel_sizes: [3, 5],out_channels: [64, 32, 16],dropout_prob: 0.35719293889948306,optimizer: SGD,lr: 0.004206758092099682"
iontransporters_membraneproteins,balanced,8,frozen,ProtBERT,"kernel_sizes: [3, 5, 7],out_channels: [64, 32, 16, 8],dropout_prob: 0.2105210195687066,optimizer: RMSprop,lr: 0.0001710806389969449"
ionchannels_membraneproteins,balanced,1,frozen,ESM-2,"kernel_sizes: [3, 5, 7],out_channels: [64, 32, 16, 8],dropout_prob: 0.40457867114390433,optimizer: RMSprop,lr: 1.4746387652141823e-05"
iontransporters_membraneproteins,balanced,7,frozen,ProtBERT-BFD,"kernel_sizes: [5, 7],out_channels: [64, 32],dropout_prob: 0.2218072384910747,optimizer: Adam,lr: 2.6225578302754615e-05"
ionchannels_membraneproteins,balanced,9,frozen,ESM-2_15B,"kernel_sizes: [5, 7],out_channels: [64, 32],dropout_prob: 0.38986578386480525,optimizer: Adam,lr: 0.00024863538851753925"
iontransporters_membraneproteins,balanced,1,finetuned,ProtBERT-BFD,"kernel_sizes: [3, 5, 7],out_channels: [64, 32, 16],dropout_prob: 0.49973604894794343,optimizer: SGD,lr: 0.04598331310594968"
ionchannels_membraneproteins,balanced,9,frozen,ESM-2,"kernel_sizes: [3, 5, 7],out_channels: [64, 32, 16, 8],dropout_prob: 0.3758487967980681,optimizer: RMSprop,lr: 9.28557132380011e-05"
iontransporters_membraneproteins,balanced,5,frozen,ESM-2_15B,"kernel_sizes: [5, 7],out_channels: [64, 32],dropout_prob: 0.43187623423630084,optimizer: RMSprop,lr: 0.00029590744735462257"
iontransporters_membraneproteins,imbalanced,Na,frozen,ESM-2,"kernel_sizes: [3, 5],out_channels: [64, 32],dropout_prob: 0.3466966891605482,optimizer: RMSprop,lr: 0.00639610645953542"
