Task,Dataset,Dataset_number,Representation,Representer,Precision,Classifier,Sensitivity,Specificity,Accuracy,MCC
ionchannels_iontransporters,na,na,frozen,ESM-1b,full,CNN,91.00±1.00,94.00±2.00,93.00±1.00,0.85±0.02
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT-BFD,half,CNN,86.00±3.00,88.00±3.00,87.00±3.00,0.74±0.06
iontransporters_membraneproteins,balanced,6,frozen,ESM-1b,full,CNN,89.00±3.00,94.00±3.00,91.00±3.00,0.83±0.06
ionchannels_membraneproteins,balanced,4,finetuned,ESM-1b,full,CNN,88.00±3.00,98.00±2.00,93.00±2.00,0.86±0.04
iontransporters_membraneproteins,balanced,9,frozen,ESM-2_15B,half,CNN,88.00±4.00,90.00±5.00,89.00±2.00,0.79±0.05
iontransporters_membraneproteins,imbalanced,na,frozen,ProtBERT-BFD,full,CNN,64.00±8.00,99.00±0.00,97.00±0.00,0.74±0.03
iontransporters_membraneproteins,balanced,5,frozen,ProtT5,half,CNN,92.00±2.00,93.00±4.00,93.00±1.00,0.85±0.03
iontransporters_membraneproteins,balanced,8,frozen,ProtBERT,full,CNN,88.00±3.00,87.00±5.00,88.00±2.00,0.75±0.05
iontransporters_membraneproteins,balanced,9,frozen,ESM-1b,half,CNN,89.00±3.00,91.00±4.00,90.00±3.00,0.81±0.05
iontransporters_membraneproteins,imbalanced,na,finetuned,ProtBERT,half,CNN,83.00±5.00,100.00±0.00,98.00±0.00,0.88±0.02
ionchannels_membraneproteins,balanced,4,finetuned,ProtBERT,full,CNN,88.00±7.00,84.00±14.00,85.00±4.00,0.73±0.08
ionchannels_membraneproteins,balanced,9,frozen,ProtBERT,full,CNN,81.00±17.00,81.00±17.00,81.00±7.00,0.65±0.12
iontransporters_membraneproteins,balanced,6,finetuned,ESM-1b,half,CNN,90.00±3.00,92.00±4.00,91.00±2.00,0.82±0.04
ionchannels_iontransporters,na,na,finetuned,ProtBERT,full,CNN,91.00±2.00,94.00±3.00,93.00±0.00,0.86±0.01
iontransporters_membraneproteins,balanced,2,frozen,ESM-2,half,CNN,90.00±2.00,94.00±4.00,92.00±2.00,0.84±0.04
ionchannels_membraneproteins,balanced,5,finetuned,ProtBERT,half,CNN,86.00±8.00,92.00±7.00,89.00±3.00,0.79±0.05
iontransporters_membraneproteins,balanced,1,finetuned,ProtBERT,full,CNN,89.00±4.00,92.00±2.00,90.00±2.00,0.81±0.04
iontransporters_membraneproteins,balanced,6,frozen,ESM-2,full,CNN,89.00±2.00,93.00±4.00,91.00±1.00,0.83±0.03
iontransporters_membraneproteins,imbalanced,na,frozen,ESM-2,full,CNN,71.00±5.00,99.00±1.00,97.00±0.00,0.77±0.02
ionchannels_membraneproteins,balanced,4,finetuned,ProtBERT-BFD,half,CNN,87.00±8.00,90.00±11.00,89.00±4.00,0.78±0.07
iontransporters_membraneproteins,balanced,3,frozen,ESM-1b,half,CNN,90.00±3.00,94.00±3.00,92.00±2.00,0.84±0.04
iontransporters_membraneproteins,balanced,1,frozen,ProtBERT-BFD,full,CNN,87.00±2.00,91.00±4.00,89.00±3.00,0.78±0.05
iontransporters_membraneproteins,balanced,1,frozen,ESM-2_15B,half,CNN,87.00±3.00,96.00±2.00,91.00±1.00,0.83±0.02
ionchannels_membraneproteins,balanced,5,frozen,ProtBERT,full,CNN,83.00±9.00,85.00±17.00,84.00±5.00,0.71±0.08
iontransporters_membraneproteins,balanced,1,frozen,ESM-1b,full,CNN,91.00±3.00,95.00±4.00,93.00±2.00,0.86±0.04
ionchannels_membraneproteins,balanced,3,frozen,ESM-2,full,CNN,93.00±3.00,95.00±3.00,94.00±1.00,0.88±0.02
iontransporters_membraneproteins,balanced,8,frozen,ProtT5,half,CNN,93.00±4.00,89.00±6.00,91.00±3.00,0.81±0.06
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT,full,CNN,86.00±3.00,88.00±5.00,87.00±3.00,0.74±0.06
ionchannels_membraneproteins,balanced,6,finetuned,ESM-1b,half,CNN,90.00±1.00,98.00±2.00,94.00±1.00,0.88±0.02
ionchannels_membraneproteins,balanced,4,frozen,ProtBERT-BFD,full,CNN,95.00±3.00,70.00±21.00,82.00±11.00,0.67±0.17
iontransporters_membraneproteins,balanced,10,finetuned,ESM-1b,half,CNN,86.00±4.00,92.00±3.00,89.00±2.00,0.79±0.04
ionchannels_membraneproteins,balanced,2,finetuned,ESM-2,full,CNN,92.00±5.00,95.00±7.00,93.00±3.00,0.87±0.06
ionchannels_membraneproteins,balanced,7,frozen,ESM-2,half,CNN,84.00±8.00,99.00±2.00,92.00±3.00,0.84±0.06
iontransporters_membraneproteins,balanced,3,finetuned,ESM-2,full,CNN,89.00±2.00,93.00±3.00,91.00±2.00,0.82±0.04
iontransporters_membraneproteins,balanced,2,frozen,ProtT5,half,CNN,92.00±1.00,93.00±3.00,93.00±1.00,0.85±0.02
ionchannels_membraneproteins,balanced,1,frozen,ESM-2_15B,half,CNN,88.00±3.00,99.00±1.00,94.00±1.00,0.88±0.02
ionchannels_membraneproteins,balanced,1,frozen,ProtBERT,full,CNN,86.00±8.00,92.00±6.00,89.00±3.00,0.79±0.06
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT-BFD,half,CNN,80.00±5.00,97.00±1.00,89.00±2.00,0.79±0.04
iontransporters_membraneproteins,balanced,4,finetuned,ProtBERT,full,CNN,87.00±2.00,86.00±3.00,87.00±2.00,0.73±0.04
iontransporters_membraneproteins,balanced,4,finetuned,ESM-1b,full,CNN,90.00±5.00,91.00±3.00,91.00±3.00,0.82±0.05
ionchannels_membraneproteins,balanced,9,frozen,ESM-2_15B,half,CNN,80.00±9.00,99.00±1.00,90.00±4.00,0.81±0.08
iontransporters_membraneproteins,balanced,5,finetuned,ProtBERT-BFD,full,CNN,87.00±4.00,89.00±5.00,88.00±3.00,0.76±0.06
ionchannels_membraneproteins,balanced,6,finetuned,ESM-2,full,CNN,93.00±3.00,93.00±5.00,93.00±2.00,0.86±0.04
ionchannels_membraneproteins,balanced,1,frozen,ProtBERT-BFD,half,CNN,84.00±6.00,92.00±5.00,88.00±1.00,0.77±0.03
iontransporters_membraneproteins,balanced,4,frozen,ESM-1b,half,CNN,89.00±5.00,91.00±4.00,90.00±3.00,0.80±0.05
iontransporters_membraneproteins,balanced,10,finetuned,ProtBERT-BFD,full,CNN,88.00±5.00,91.00±5.00,89.00±3.00,0.79±0.05
iontransporters_membraneproteins,balanced,7,finetuned,ESM-2,full,CNN,91.00±3.00,92.00±1.00,92.00±2.00,0.83±0.03
