Task,Dataset,Dataset_number,Representation,Representer,Precision,Classifier,Sensitivity,Specificity,Accuracy,MCC
iontransporters_membraneproteins,balanced,8,finetuned,ESM-2,half,SVM,89.00±2.00,90.00±6.00,89.00±3.00,0.79±0.05
iontransporters_membraneproteins,balanced,8,finetuned,ESM-2,half,RF,83.00±4.00,88.00±5.00,85.00±4.00,0.71±0.09
iontransporters_membraneproteins,balanced,8,finetuned,ESM-2,half,kNN,90.00±3.00,68.00±6.00,79.00±3.00,0.59±0.06
iontransporters_membraneproteins,balanced,8,finetuned,ESM-2,half,LR,89.00±3.00,91.00±6.00,90.00±3.00,0.80±0.06
iontransporters_membraneproteins,balanced,8,finetuned,ESM-2,half,FFNN,90.00±3.00,89.00±8.00,89.00±4.00,0.79±0.08
ionchannels_membraneproteins,balanced,1,frozen,ESM-1b,full,SVM,90.00±2.00,94.00±2.00,92.00±2.00,0.84±0.04
ionchannels_membraneproteins,balanced,1,frozen,ESM-1b,full,RF,81.00±3.00,95.00±2.00,89.00±2.00,0.78±0.04
ionchannels_membraneproteins,balanced,1,frozen,ESM-1b,full,kNN,96.00±1.00,70.00±3.00,82.00±2.00,0.67±0.03
ionchannels_membraneproteins,balanced,1,frozen,ESM-1b,full,LR,93.00±3.00,91.00±4.00,92.00±3.00,0.84±0.05
ionchannels_membraneproteins,balanced,1,frozen,ESM-1b,full,FFNN,92.00±2.00,90.00±5.00,91.00±3.00,0.82±0.06
ionchannels_membraneproteins,balanced,1,frozen,ProtT5,half,SVM,90.00±4.00,97.00±2.00,94.00±3.00,0.88±0.06
ionchannels_membraneproteins,balanced,1,frozen,ProtT5,half,RF,81.00±4.00,98.00±3.00,90.00±3.00,0.80±0.06
ionchannels_membraneproteins,balanced,1,frozen,ProtT5,half,kNN,95.00±3.00,71.00±7.00,82.00±5.00,0.67±0.10
ionchannels_membraneproteins,balanced,1,frozen,ProtT5,half,LR,92.00±2.00,92.00±2.00,92.00±2.00,0.84±0.03
ionchannels_membraneproteins,balanced,1,frozen,ProtT5,half,FFNN,92.00±4.00,93.00±2.00,93.00±2.00,0.85±0.04
iontransporters_membraneproteins,balanced,4,finetuned,ProtBERT,full,SVM,86.00±2.00,87.00±6.00,87.00±4.00,0.73±0.07
iontransporters_membraneproteins,balanced,4,finetuned,ProtBERT,full,RF,79.00±2.00,83.00±7.00,81.00±4.00,0.63±0.09
iontransporters_membraneproteins,balanced,4,finetuned,ProtBERT,full,kNN,88.00±2.00,65.00±4.00,76.00±3.00,0.54±0.06
iontransporters_membraneproteins,balanced,4,finetuned,ProtBERT,full,LR,89.00±1.00,87.00±3.00,88.00±2.00,0.76±0.03
iontransporters_membraneproteins,balanced,4,finetuned,ProtBERT,full,FFNN,89.00±2.00,88.00±4.00,88.00±2.00,0.77±0.05
ionchannels_membraneproteins,balanced,4,frozen,ProtBERT-BFD,full,SVM,91.00±3.00,86.00±4.00,88.00±2.00,0.76±0.05
ionchannels_membraneproteins,balanced,4,frozen,ProtBERT-BFD,full,RF,81.00±7.00,88.00±5.00,85.00±6.00,0.70±0.11
ionchannels_membraneproteins,balanced,4,frozen,ProtBERT-BFD,full,kNN,89.00±3.00,65.00±3.00,76.00±3.00,0.55±0.06
ionchannels_membraneproteins,balanced,4,frozen,ProtBERT-BFD,full,LR,88.00±2.00,86.00±4.00,87.00±3.00,0.74±0.05
ionchannels_membraneproteins,balanced,4,frozen,ProtBERT-BFD,full,FFNN,88.00±5.00,87.00±7.00,88.00±3.00,0.76±0.06
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,half,SVM,90.00±3.00,87.00±7.00,88.00±5.00,0.76±0.09
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,half,RF,78.00±5.00,92.00±5.00,85.00±4.00,0.71±0.08
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,half,kNN,89.00±3.00,60.00±6.00,73.00±4.00,0.50±0.07
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,half,LR,87.00±3.00,88.00±3.00,87.00±3.00,0.74±0.06
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,half,FFNN,86.00±3.00,88.00±2.00,87.00±2.00,0.75±0.05
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT,full,SVM,85.00±2.00,87.00±5.00,86.00±3.00,0.73±0.06
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT,full,RF,81.00±4.00,81.00±4.00,81.00±4.00,0.62±0.07
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT,full,kNN,85.00±2.00,65.00±5.00,75.00±3.00,0.51±0.05
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT,full,LR,88.00±2.00,85.00±4.00,86.00±2.00,0.73±0.05
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT,full,FFNN,88.00±2.00,86.00±5.00,87.00±2.00,0.75±0.05
ionchannels_membraneproteins,balanced,7,frozen,ESM-2,full,SVM,91.00±2.00,93.00±1.00,92.00±1.00,0.84±0.03
ionchannels_membraneproteins,balanced,7,frozen,ESM-2,full,RF,82.00±5.00,93.00±5.00,88.00±3.00,0.76±0.06
ionchannels_membraneproteins,balanced,7,frozen,ESM-2,full,kNN,93.00±4.00,68.00±7.00,79.00±3.00,0.62±0.06
ionchannels_membraneproteins,balanced,7,frozen,ESM-2,full,LR,90.00±3.00,92.00±3.00,92.00±1.00,0.83±0.03
ionchannels_membraneproteins,balanced,7,frozen,ESM-2,full,FFNN,92.00±2.00,91.00±2.00,92.00±1.00,0.83±0.01
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,full,SVM,82.00±4.00,88.00±3.00,85.00±3.00,0.70±0.05
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,full,RF,80.00±6.00,86.00±7.00,83.00±2.00,0.66±0.03
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,full,kNN,85.00±2.00,73.00±4.00,79.00±2.00,0.58±0.04
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,full,LR,85.00±2.00,86.00±6.00,86.00±3.00,0.71±0.06
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,full,FFNN,84.00±2.00,85.00±6.00,84.00±3.00,0.69±0.06
ionchannels_membraneproteins,balanced,9,frozen,ESM-2_15B,half,SVM,92.00±3.00,94.00±4.00,93.00±4.00,0.86±0.07
ionchannels_membraneproteins,balanced,9,frozen,ESM-2_15B,half,RF,82.00±4.00,98.00±1.00,91.00±2.00,0.82±0.05
ionchannels_membraneproteins,balanced,9,frozen,ESM-2_15B,half,kNN,95.00±3.00,45.00±4.00,68.00±4.00,0.45±0.07
ionchannels_membraneproteins,balanced,9,frozen,ESM-2_15B,half,LR,92.00±4.00,94.00±4.00,93.00±4.00,0.87±0.08
ionchannels_membraneproteins,balanced,9,frozen,ESM-2_15B,half,FFNN,91.00±3.00,94.00±4.00,93.00±3.00,0.85±0.07
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,half,SVM,90.00±2.00,95.00±3.00,93.00±2.00,0.85±0.03
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,half,RF,80.00±6.00,96.00±2.00,88.00±3.00,0.77±0.05
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,half,kNN,96.00±2.00,67.00±7.00,80.00±3.00,0.65±0.04
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,half,LR,90.00±1.00,92.00±4.00,91.00±2.00,0.82±0.04
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,half,FFNN,90.00±3.00,91.00±4.00,91.00±1.00,0.82±0.03
iontransporters_membraneproteins,balanced,3,finetuned,ESM-2,full,SVM,90.00±4.00,89.00±2.00,89.00±2.00,0.79±0.03
iontransporters_membraneproteins,balanced,3,finetuned,ESM-2,full,RF,84.00±4.00,90.00±4.00,87.00±3.00,0.74±0.06
iontransporters_membraneproteins,balanced,3,finetuned,ESM-2,full,kNN,89.00±7.00,71.00±5.00,80.00±2.00,0.62±0.06
