Task,Dataset,Representation,Representer,Precision,Classifier,MCC
ionchannels_membraneproteins,balanced,frozen,ProtBERT,half,SVM,0.75±0.06
iontransporters_membraneproteins,balanced,frozen,ProtBERT,half,SVM,0.73±0.05
ionchannels_membraneproteins,balanced,finetuned,ProtBERT,half,SVM,0.76±0.06
iontransporters_membraneproteins,balanced,finetuned,ProtBERT,half,SVM,0.74±0.05
ionchannels_membraneproteins,balanced,frozen,ProtBERT,half,RF,0.72±0.05
iontransporters_membraneproteins,balanced,frozen,ProtBERT,half,RF,0.65±0.07
ionchannels_membraneproteins,balanced,finetuned,ProtBERT,half,RF,0.73±0.06
iontransporters_membraneproteins,balanced,finetuned,ProtBERT,half,RF,0.66±0.07
ionchannels_membraneproteins,balanced,frozen,ProtBERT,half,kNN,0.49±0.08
iontransporters_membraneproteins,balanced,frozen,ProtBERT,half,kNN,0.56±0.06
ionchannels_membraneproteins,balanced,finetuned,ProtBERT,half,kNN,0.51±0.07
iontransporters_membraneproteins,balanced,finetuned,ProtBERT,half,kNN,0.57±0.07
ionchannels_membraneproteins,balanced,frozen,ProtBERT,half,LR,0.73±0.07
iontransporters_membraneproteins,balanced,frozen,ProtBERT,half,LR,0.74±0.05
ionchannels_membraneproteins,balanced,finetuned,ProtBERT,half,LR,0.75±0.06
iontransporters_membraneproteins,balanced,finetuned,ProtBERT,half,LR,0.74±0.04
ionchannels_membraneproteins,balanced,frozen,ProtBERT,half,FFNN,0.75±0.05
iontransporters_membraneproteins,balanced,frozen,ProtBERT,half,FFNN,0.75±0.06
ionchannels_membraneproteins,balanced,finetuned,ProtBERT,half,FFNN,0.75±0.05
iontransporters_membraneproteins,balanced,finetuned,ProtBERT,half,FFNN,0.75±0.05
ionchannels_membraneproteins,balanced,frozen,ProtBERT,full,SVM,0.76±0.06
iontransporters_membraneproteins,balanced,frozen,ProtBERT,full,SVM,0.73±0.05
ionchannels_membraneproteins,balanced,finetuned,ProtBERT,full,SVM,0.76±0.06
iontransporters_membraneproteins,balanced,finetuned,ProtBERT,full,SVM,0.74±0.04
ionchannels_membraneproteins,balanced,frozen,ProtBERT,full,RF,0.73±0.06
iontransporters_membraneproteins,balanced,frozen,ProtBERT,full,RF,0.65±0.07
ionchannels_membraneproteins,balanced,finetuned,ProtBERT,full,RF,0.72±0.05
iontransporters_membraneproteins,balanced,finetuned,ProtBERT,full,RF,0.66±0.06
ionchannels_membraneproteins,balanced,frozen,ProtBERT,full,kNN,0.49±0.08
iontransporters_membraneproteins,balanced,frozen,ProtBERT,full,kNN,0.56±0.06
