number,value,params_dropout_prob,params_kernel_sizes,params_lr,params_optimizer,params_out_channels
16,0.31180478223116176,0.2861956200912608,"[3, 5, 7]",0.0024149948142276993,Adam,"[128, 64, 32]"
4,0.5357142857142857,0.3672326419540961,"[3, 5, 7]",2.5705793764678736e-06,Adam,"[128, 64, 32]"
52,0.5529203373641627,0.2278787576600265,"[3, 5, 7]",0.0014516545571769156,Adam,"[128, 64, 32]"
14,0.5792545288731196,0.24751184967302045,"[3, 5, 7]",0.0005363152202963799,Adam,"[128, 64, 32]"
3,0.5916079783099616,0.48799443958648486,"[3, 5, 7]",0.004604159754437131,Adam,"[128, 64, 32]"
50,0.6047625095247167,0.33180480065785056,"[3, 5, 7]",0.000810418915425476,Adam,"[128, 64, 32]"
5,0.6126374746329801,0.2969738002886821,"[3, 5, 7]",0.00012469820320403928,Adam,"[128, 64, 32]"
62,0.6160369210487616,0.25797935788219345,"[3, 5, 7]",9.875989117589219e-05,Adam,"[128, 64, 32]"
6,0.6160369210487616,0.2897379121185836,"[3, 5, 7]",0.00031351255133025077,Adam,"[128, 64, 32]"
1,0.6223905044275008,0.24896624105103288,"[3, 5, 7]",0.009683548252433304,Adam,"[128, 64, 32]"
21,0.6512368032325003,0.2036173598453604,"[3, 5, 7]",7.667055664159857e-05,Adam,"[128, 64, 32]"
76,0.6512368032325003,0.270875103764657,"[3, 5, 7]",0.0005368469983459776,Adam,"[128, 64, 32]"
74,0.6531435102866939,0.24241339046256918,"[3, 5, 7]",0.0001503147359300665,Adam,"[128, 64, 32]"
83,0.6531435102866939,0.23773432946994205,"[3, 5, 7]",0.00018388056910194592,Adam,"[128, 64, 32]"
66,0.6531435102866939,0.24986942524747524,"[3, 5, 7]",0.00045230737053123904,Adam,"[128, 64, 32]"
39,0.6531435102866939,0.2585595384138747,"[3, 5, 7]",0.00040445200790737546,Adam,"[128, 64, 32]"
12,0.6531435102866939,0.21372040352942712,"[3, 5, 7]",0.00018154114758752064,Adam,"[128, 64, 32]"
2,0.6904761904761905,0.32918641713688285,"[3, 5, 7]",1.4011646379011759e-05,Adam,"[128, 64, 32]"
86,0.6907187213999285,0.20670061917031843,"[3, 5, 7]",4.412569839901824e-05,Adam,"[128, 64, 32]"
15,0.6907187213999285,0.20137848109128903,"[3, 5, 7]",6.884259964033554e-05,Adam,"[128, 64, 32]"
11,0.6907187213999285,0.2068768055747036,"[3, 5, 7]",4.466228788666853e-05,Adam,"[128, 64, 32]"
34,0.6953288019758299,0.2757356482826726,"[3, 5, 7]",5.214756039280373e-05,Adam,"[128, 64, 32]"
0,0.8842481364991748,0.23999526157072262,"[3, 5, 7]",0.0075907456752154585,Adam,"[128, 64, 32]"
