number,value,params_dropout_prob,params_kernel_sizes,params_lr,params_optimizer,params_out_channels
0,0.7938191289732249,0.21553172091514172,"[7, 7, 7]",0.0012275535869291484,RMSprop,"[128, 64, 32]"
3,0.8331300565079324,0.4524071755086541,"[7, 7, 7]",1.6315682965408135e-06,Adam,"[128, 64, 32]"
4,0.8955081525902728,0.4878161254663087,"[3, 7, 9]",0.000348984087386731,RMSprop,"[128, 64, 32]"
31,0.8955081525902728,0.36041049579451273,"[3, 5, 7]",0.006418720565184585,SGD,"[128, 64, 32]"
22,0.9075711982983508,0.20305761013705506,"[3, 5, 7]",4.234248744286207e-05,Adam,"[128, 64, 32]"
92,0.9075711982983508,0.20781257990736385,"[5, 7]",0.006265914578028693,SGD,"[128, 64, 32]"
11,0.9075995458818565,0.35818141916204893,"[3, 5, 7]",0.008803190968723324,SGD,"[128, 64, 32]"
37,0.9075995458818565,0.40887016367275,"[7, 7, 7]",0.00540031169365073,SGD,"[128, 64, 32]"
72,0.9075995458818565,0.2005076900554565,"[3, 5, 7]",3.752363489919077e-05,Adam,"[128, 64, 32]"
2,0.9195113961933634,0.35082082470920084,"[3, 5, 7]",0.0023843315561390276,SGD,"[128, 64, 32]"
6,0.9195113961933634,0.4743027147983925,"[3, 5, 7]",5.153204026574431e-05,Adam,"[128, 64, 32]"
40,0.9195113961933634,0.4222235781926271,"[3, 7, 9]",0.005824663883640873,SGD,"[128, 64, 32]"
65,0.9195113961933634,0.25202369882740644,"[5, 7]",4.9570655269382843e-05,Adam,"[128, 64, 32]"
90,0.9195113961933634,0.2103511353122053,"[5, 7]",0.007942474586358331,SGD,"[128, 64, 32]"
1,0.9431480507868236,0.26624992559465005,"[5, 7]",0.008340551780956593,RMSprop,"[128, 64, 32]"
